Default,LoanAmount,Accounts,AnnualIncome,LastCreditPullYear,RevolvingBalance,LastPaymentAmount,RecentInquiries
0,11975.0,12,65000.0,2019,5146.0,263.62,1
0,35000.0,35,385000.0,2019,78710.0,18838.87,1
0,10000.0,14,33790.0,2015,4135.0,4602.36,0
0,25200.0,25,60000.0,2018,13136.0,2692.45,0
1,35000.0,33,100000.0,2017,29220.0,946.68,0
0,11600.0,12,130000.0,2016,5762.0,372.29,0
0,11900.0,37,68500.0,2019,11276.0,8611.51,0
0,13000.0,25,43000.0,2019,4590.0,6302.61,1
0,24950.0,25,67000.0,2019,14862.0,11319.77,0
0,20000.0,28,78000.0,2019,45081.0,12186.8,0
0,12000.0,18,52000.0,2019,14159.0,1141.35,0
0,9500.0,20,75000.0,2017,1593.0,5556.22,1
1,30000.0,42,100000.0,2019,38210.0,50.0,0
0,5000.0,10,23000.0,2018,2378.0,360.5,0
0,8000.0,11,45000.0,2018,3168.0,275.28,0
0,6250.0,17,31200.0,2019,5410.0,223.22,1
0,23950.0,19,300000.0,2019,18263.0,750.81,0
0,15375.0,29,42000.0,2019,8253.0,382.03,0
0,8000.0,37,55000.0,2018,2935.0,2035.31,2
0,18000.0,33,80000.0,2019,10529.0,12552.44,1
0,20875.0,25,85000.0,2018,43579.0,654.85,0
0,13000.0,20,70000.0,2017,12975.0,9054.2,0
1,10000.0,21,32000.0,2016,6909.0,336.22,1
0,8000.0,21,25000.0,2019,6449.0,282.09,1
1,20000.0,26,75000.0,2018,26617.0,878.96,0
0,18000.0,12,45000.0,2019,2707.0,2205.83,0
0,16650.0,18,200000.0,2019,45173.0,391.66,1
0,15000.0,31,75000.0,2016,6390.0,7943.43,0
0,7000.0,13,19131.0,2019,8918.0,233.65,0
1,15000.0,20,40000.0,2017,14671.0,373.6,0
1,19500.0,19,60000.0,2018,20810.0,505.74,0
0,30000.0,28,125000.0,2017,43054.0,2.34,1
0,4000.0,47,30000.0,2018,2633.0,132.76,0
0,24000.0,24,68000.0,2019,19333.0,564.56,0
0,20675.0,23,46000.0,2018,8776.0,7438.23,1
0,10000.0,12,50000.0,2017,7841.0,8438.71,1
0,9000.0,21,40000.0,2018,6987.0,288.7,1
1,12000.0,30,34000.0,2017,10114.0,275.07,0
0,3000.0,10,89918.0,2018,12033.0,102.23,0
0,13925.0,29,40000.0,2016,7236.0,6990.29,0
0,9500.0,9,57518.0,2017,3721.0,6177.39,1
0,6000.0,9,52000.0,2019,7532.0,4897.38,0
0,16000.0,32,900000.0,2017,16617.0,486.91,0
1,35000.0,24,98000.0,2019,28581.0,936.86,2
0,30000.0,39,183993.46,2019,24253.0,10552.45,0
0,20350.0,28,80000.0,2019,16810.0,647.58,0
0,14950.0,35,65000.0,2019,6000.0,13370.49,4
0,14000.0,60,100000.0,2018,5118.0,13904.15,1
0,13000.0,36,65000.0,2017,10753.0,5036.5,0
0,10000.0,30,50000.0,2018,8379.0,8448.97,0
1,19000.0,41,125000.0,2019,5177.0,448.53,1
0,6100.0,32,80000.0,2018,10073.0,387.86,0
1,35000.0,31,87000.0,2016,22635.0,150.0,1
0,8000.0,7,45000.0,2019,4849.0,2367.1,0
1,18000.0,17,46000.0,2017,18958.0,618.09,0
0,10000.0,29,40000.0,2018,8155.0,7512.0,0
0,10000.0,16,62000.0,2017,19366.0,1689.61,0
0,16000.0,10,38200.0,2018,18810.0,559.3,0
0,9500.0,15,40000.0,2017,17758.0,5899.42,1
0,1500.0,15,28151.52,2019,9889.0,58.27,1
0,9950.0,8,55000.0,2017,518.0,4911.91,0
0,14400.0,16,68000.0,2016,4509.0,8700.6,0
0,18000.0,30,60000.0,2017,9265.0,10152.85,2
0,15000.0,19,65000.0,2018,13930.0,6889.0,2
1,19250.0,33,75000.0,2017,4509.0,471.1,1
0,33425.0,24,75000.0,2017,19651.0,14892.13,0
0,21200.0,27,81000.0,2015,10896.0,15949.86,2
0,5025.0,12,35000.0,2019,4413.0,3048.35,0
0,35000.0,34,150000.0,2017,37300.0,18527.22,0
0,7500.0,13,65000.0,2018,5672.0,234.34,0
1,10625.0,22,62000.0,2017,6593.0,375.07,1
0,10000.0,16,54080.0,2018,7440.0,337.45,0
0,18000.0,25,115000.0,2018,10034.0,11975.5,0
0,19575.0,35,118000.0,2018,10962.0,9364.82,1
0,14000.0,44,96000.0,2019,10272.0,12371.84,1
0,25000.0,21,108932.0,2014,15464.0,21708.69,0
1,4700.0,13,33443.0,2016,1353.0,166.38,1
0,15875.0,19,36000.0,2019,17310.0,13274.92,0
1,16000.0,41,200000.0,2018,2152.0,343.83,0
0,26450.0,18,96000.0,2019,45497.0,899.45,0
0,25000.0,23,80000.0,2019,22640.0,632.94,0
0,5300.0,13,89476.0,2019,27285.0,2986.9,1
0,18200.0,15,50000.0,2018,8060.0,523.1,0
0,10000.0,7,40654.0,2018,4521.0,317.22,0
0,35000.0,26,105000.0,2019,76770.0,3655.74,0
1,11200.0,29,50000.0,2017,13900.0,357.05,0
0,35000.0,23,95000.0,2019,11058.0,4782.42,1
0,15000.0,24,86000.0,2019,13594.0,455.6,0
0,16500.0,16,41041.78,2019,10607.0,525.68,0
0,25000.0,35,100000.0,2019,29955.0,531.06,1
1,10000.0,12,39000.0,2019,6669.0,381.81,2
0,6000.0,12,52000.0,2016,41345.0,6054.95,0
0,3600.0,34,46000.0,2019,4580.0,122.77,0
0,12000.0,12,50000.0,2018,9457.0,3099.45,0
1,9600.0,61,62000.0,2016,7355.0,326.48,3
0,17950.0,21,50000.0,2017,7045.0,15853.8,0
0,12950.0,36,44000.0,2019,12320.0,6470.54,1
1,16000.0,30,75000.0,2019,17071.0,377.63,2
0,6400.0,15,50000.0,2017,7185.0,6116.42,0
0,15000.0,28,100000.0,2018,11062.0,13880.08,1
0,15000.0,25,73000.0,2019,5061.0,2629.08,1
0,15800.0,26,55000.0,2019,8821.0,422.93,1
0,7800.0,25,54389.0,2019,12096.0,245.56,0
0,12000.0,42,70000.0,2019,12347.0,373.2,0
0,30000.0,21,153000.0,2017,10519.0,22763.11,1
0,22200.0,18,75000.0,2019,8557.0,18736.49,0
1,9600.0,9,35000.0,2018,14012.0,320.65,0
0,9175.0,5,40000.0,2019,3238.0,309.0,0
0,15000.0,18,60000.0,2018,6036.0,10791.96,0
0,7500.0,19,42000.0,2017,7325.0,0.53,0
0,12000.0,30,42000.0,2015,11710.0,22.37,2
0,35000.0,46,150000.0,2018,27729.0,5867.45,1
0,19200.0,6,90000.0,2018,12303.0,16115.61,0
0,35000.0,48,125000.0,2019,51577.0,21656.24,1
0,35000.0,43,300000.0,2018,60391.0,1223.12,2
1,7200.0,7,44000.0,2016,9268.0,246.01,0
