"ReferenceId","PolicyholderNumber","FirstPartyVehicleNumber","ThirdPartyVehicleNumber","PolicyholderOccupation","LossDate","FirstPolicySubscriptionDate","ClaimCause","ClaimInvolvedCovers","DamageImportance","FirstPartyVehicleType","ConnectionBetweenParties","LossPostCode","PolicyHolderPostCode","PolicyWasSubscribedOnInternet","NumberOfPoliciesOfPolicyholderInAllScope","FpVehicleAgeMonths","EasinessToStage","ClaimWihoutIdentifiedThirdParty","ClaimAmount","LossHour","PolicyHolderAge","NumberOfBodilyInjuries","FirstPartyLiability","Fraud"
4842,531112,715507,NA,"CivilServant","2019-01-02","2018-06-18","CollisionWithAnimal","MaterialDamages ActLiability","","Car","","31330","31330",1,1,104,0.25,1,4624.73,8,45,0,1,0
4844,87170,71164,NA,"Worker","2019-01-02","2017-06-29","LossOfControl","MaterialDamages ActLiability","","Car","","29810","29200",0,3,230,0.5,1,1606.81,11,20,0,1,0
4848,98706,442609,NA,"Worker","2019-01-02","2017-02-05","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","33500","33500",0,9,93,0.25,0,998.2,18,32,0,0.5,0
4849,38240,24604,NA,"CivilServant","2019-01-02","2017-01-21","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability ReplacementVehicle","","Car","","35310","35310",0,2,56,0.25,0,2506.92,11,46,0,0.5,0
4850,11339,2933,229134,"Farmer","2019-01-02","2018-01-13","AccidentWithIdentifiedThirdParty","ActLiability","","Car","","29600","22000",0,4,110,0.25,0,12,12,28,0,0,0
4851,446517,842702,NA,"Employee","2019-01-02","2017-10-01","WindscreenDamage","ActLiability","","Car","","7380","7200",0,2,290,0.5,1,0,0,47,0,0,0
4852,378784,550404,NA,"Employee","2019-01-03","2018-03-26","WindscreenDamage","Windscreen","","Car","","26300","26300",1,1,70,0.5,1,331.74,0,35,0,0,0
4853,122820,109807,NA,"Executive","2019-01-03","2017-05-03","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability ReplacementVehicle","","Car","","56600","56100",0,4,127,0.25,0,2693.76,15,36,0,1,0
4854,283148,370477,NA,"Worker","2019-01-04","2017-10-03","AccidentWithUnidentifiedThirdParty","MaterialDamages ActLiability ReplacementVehicle","","Car","","3700","3270",0,6,8,0.25,1,1314.71,9,59,0,0,0
4855,579302,773519,NA,"Executive","2019-01-02","2017-07-10","AccidentWithIdentifiedThirdParty","MaterialDamages ActLiability","","Car","","84000","84300",0,1,65,0.25,0,3521.74,19,26,0,0,0
4857,440985,739070,NA,"Employee","2019-01-03","2017-03-15","WindscreenDamage","Windscreen","","Car","","57100","57155",0,2,51,0.5,1,1215.5,12,58,0,0,0
4858,134733,473391,NA,"Merchant","2019-01-02","2017-05-02","Vandalism","ActLiability Burglary","","Car","","33910","33230",0,9,127,0.5,1,3389.02,20,29,0,0,0
4859,245739,443110,NA,"Worker","2019-01-04","2017-08-28","WindscreenDamage","Windscreen ActLiability","","Car","","33920","64240",0,2,149,0.5,1,221.11,0,44,0,0,0
4860,671069,892268,NA,"Retired","2019-01-04","2017-11-21","AccidentWithIdentifiedThirdParty","ActLiability ReplacementVehicle","","Car","","34670","34670",1,2,129,0.25,0,1500.05,15,65,0,0,0
4861,360972,656484,NA,"Retired","2019-01-02","2017-02-08","TheftAttempt","Windscreen","","Car","","62100","62100",0,2,102,0.5,1,120.52,20,68,0,0,0
4862,375296,855403,NA,"CivilServant","2019-01-07","2018-10-15","AccidentWithIdentifiedThirdParty","ActLiability","TotalLoss","Car","","42100","42100",1,3,93,0.25,0,19500,10,30,0,0,0
4863,689144,918383,NA,"Employee","2019-01-04","2018-01-01","WindscreenDamage","Windscreen","","Car","","34080","34080",0,1,225,0.5,1,491.87,0,36,0,0,0
4864,642909,854045,NA,"Student","2019-01-07","2018-10-20","AccidentWithIdentifiedThirdParty","ActLiability","TotalLoss","Car","","34000","34790",1,1,182,0.25,0,950,12,18,0,0,0
4865,5541,274664,NA,"Unemployed","2019-01-07","2018-06-10","MultiVehicleCrash","ActLiability ThirdParty","","Car","","34070","34070",0,1,105,0.15,0,3089.4,11,28,0,0,0
4866,488186,813523,NA,"Retired","2019-01-06","2018-08-29","AccidentWithUnidentifiedThirdParty","MaterialDamages ActLiability Burglary","","Car","","74140","40290",0,2,3,0.25,1,1087.15,11,61,0,0,0
4867,459206,633204,NA,"Employee","2019-01-04","2018-04-20","WindscreenDamage","Windscreen","","Car","","71200","71200",1,1,135,0.5,1,0,0,24,0,0,0
4868,564484,755329,NA,"Employee","2019-01-08","2018-07-04","LossOfControl","MaterialDamages ActLiability ReplacementVehicle","","Car","","78140","78730",1,1,24,0.5,1,1536.82,6,51,0,1,0
4869,57791,87429,NA,"Employee","2019-01-06","2017-02-14","WindscreenDamage","Windscreen","","Car","","63520","63520",0,3,224,0.5,1,368.88,0,51,0,0,0
4870,665023,885350,NA,"Retired","2019-01-03","2018-10-25","AccidentWithUnidentifiedThirdParty","MaterialDamages ActLiability","","Car","","56240","56240",0,1,120,0.25,1,1041.26,15,65,0,0,0
